STT,Thông tin,Label,thong_tin_norm_vi,tokens_vi,thong_tin_final_vi
375,'Nhà máy thông minh' trong trường đại học,Tin tức,nhà máy thông minh trong trường đại học,"['nhà_máy', 'thông_minh', 'trường', 'đại_học']",nhà_máy thông_minh trường đại_học
376,Phòng thí nghiệm nhà máy thông minh 4.0: Đáp ứng nguồn lực chuyên gia kỹ thuật số của Việt Nam,Tin tức,phòng thí nghiệm nhà máy thông minh đáp ứng nguồn lực chuyên gia kỹ thuật số của việt nam,"['phòng_thí_nghiệm', 'nhà_máy', 'thông_minh', 'đáp_ứng', 'nguồn_lực', 'chuyên_gia', 'kỹ_thuật_số', 'việt_nam']",phòng_thí_nghiệm nhà_máy thông_minh đáp_ứng nguồn_lực chuyên_gia kỹ_thuật_số việt_nam
377,Khai mạc đánh giá chất lượng cấp chương trình lần thứ 154 của AUN - QA tại IUH,Tin tức,khai mạc đánh giá chất lượng cấp chương trình lần thứ của aun qa tại iuh,"['khai_mạc', 'đánh_giá', 'chất_lượng', 'cấp', 'chương_trình', 'lần', 'thứ', 'aun', 'qa', 'iuh']",khai_mạc đánh_giá chất_lượng cấp chương_trình lần thứ aun qa iuh
378,Đoàn công tác Cao đẳng Kinh tế Kỹ thuật Cần Thơ tham quan học tập kinh nghiệm triển khai dự án JICA tại IUH,Tin tức,đoàn công tác cao đẳng kinh tế kỹ thuật cần thơ tham quan học tập kinh nghiệm triển khai dự án jica tại iuh,"['đoàn', 'công_tác', 'cao_đẳng', 'kinh_tế', 'kỹ_thuật', 'cần_thơ', 'tham_quan', 'học_tập', 'kinh_nghiệm', 'triển_khai', 'dự_án', 'jica', 'iuh']",đoàn công_tác cao_đẳng kinh_tế kỹ_thuật cần_thơ tham_quan học_tập kinh_nghiệm triển_khai dự_án jica iuh
379,Hội thảo khoa học quốc tế Ứng dụng vi tảo trong xử lý môi trường nước thả,Tin tức,hội thảo khoa học quốc tế ứng dụng vi tảo trong xử lý môi trường nước thả,"['hội_thảo', 'khoa_học', 'quốc_tế', 'ứng_dụng', 'vi_tảo', 'xử_lý', 'môi_trường', 'nước', 'thả']",hội_thảo khoa_học quốc_tế ứng_dụng vi_tảo xử_lý môi_trường nước thả
380,IUH đánh giá nội bộ 04 chương trình đào tạo theo tiêu chuẩn ABET,Tin tức,iuh đánh giá nội bộ chương trình đào tạo theo tiêu chuẩn abet,"['iuh', 'đánh_giá', 'nội_bộ', 'chương_trình', 'đào_tạo', 'tiêu_chuẩn', 'abet']",iuh đánh_giá nội_bộ chương_trình đào_tạo tiêu_chuẩn abet
381,IUH tổ chức Lễ khai giảng đào tạo trình độ tiến sĩ khóa 02 và trao bằng tốt nghiệp thạc sĩ,Tin tức,iuh tổ chức lễ khai giảng đào tạo trình độ tiến sĩ khóa và trao bằng tốt nghiệp thạc sĩ,"['iuh', 'tổ_chức', 'lễ', 'khai_giảng', 'đào_tạo', 'trình_độ', 'tiến_sĩ', 'khóa', 'trao', 'bằng', 'tốt_nghiệp', 'thạc_sĩ']",iuh tổ_chức lễ khai_giảng đào_tạo trình_độ tiến_sĩ khóa trao bằng tốt_nghiệp thạc_sĩ
382,"Lễ khởi động Dự án thành phần “Xây dựng cơ sở đào tạo, nghiên cứu khoa học của IUH tại Quận 12” do Ngân hàng Thế giới tài trợ",Tin tức,lễ khởi động dự án thành phần xây dựng cơ sở đào tạo nghiên cứu khoa học của iuh tại quận do ngân hàng thế giới tài trợ,"['lễ', 'khởi_động', 'dự_án', 'thành_phần', 'xây_dựng', 'cơ_sở', 'đào_tạo', 'nghiên_cứu', 'khoa_học', 'iuh', 'quận', 'ngân_hàng', 'thế_giới', 'tài_trợ']",lễ khởi_động dự_án thành_phần xây_dựng cơ_sở đào_tạo nghiên_cứu khoa_học iuh quận ngân_hàng thế_giới tài_trợ
383,Khai mạc chương trình tập huấn lãnh đạo cấp cao của dự án UK-VN HEP,Tin tức,khai mạc chương trình tập huấn lãnh đạo cấp cao của dự án uk vn hep,"['khai_mạc', 'chương_trình', 'tập_huấn', 'lãnh_đạo', 'cấp', 'cao', 'dự_án', 'uk', 'vn', 'hep']",khai_mạc chương_trình tập_huấn lãnh_đạo cấp cao dự_án uk vn hep
384,Hội nghị cán bộ - viên chức IUH năm 2019 - Sự khởi đầu đầy hứng khởi,Tin tức,hội nghị cán bộ viên chức iuh năm sự khởi đầu đầy hứng khởi,"['hội_nghị', 'cán_bộ', 'viên_chức', 'iuh', 'năm', 'sự', 'khởi_đầu', 'đầy', 'hứng_khởi']",hội_nghị cán_bộ viên_chức iuh năm sự khởi_đầu đầy hứng_khởi
385,Cán bộ quản lý IUH tham gia chương trình tập huấn UK-VN HEP từ ngày 1-12/12/2018,Tin tức,cán bộ quản lý iuh tham gia chương trình tập huấn uk vn hep từ ngày,"['cán_bộ', 'quản_lý', 'iuh', 'tham_gia', 'chương_trình', 'tập_huấn', 'uk', 'vn', 'hep', 'ngày']",cán_bộ quản_lý iuh tham_gia chương_trình tập_huấn uk vn hep ngày
386,IUH chào mừng 36 năm ngày Nhà giáo Việt Nam 20/11,Tin tức,iuh chào mừng năm ngày nhà giáo việt nam,"['iuh', 'chào_mừng', 'năm', 'ngày', 'nhà_giáo', 'việt_nam']",iuh chào_mừng năm ngày nhà_giáo việt_nam
387,Giảng viên IUH đạt huy chương vàng tại cuộc thi Macau International Invention Exhibition,Tin tức,giảng viên iuh đạt huy chương vàng tại cuộc thi macau international invention exhibition,"['giảng_viên', 'iuh', 'đạt', 'huy_chương', 'vàng', 'cuộc', 'thi', 'macau', 'international', 'invention', 'exhibition']",giảng_viên iuh đạt huy_chương vàng cuộc thi macau international invention exhibition
388,Trường ĐH Công nghiệp TP.HCM vinh dự nhận Cờ thi đua và Bằng khen của Bộ trưởng Bộ Công Thương,Tin tức,trường đh công nghiệp tp hcm vinh dự nhận cờ thi đua và bằng khen của bộ trưởng bộ công thương,"['trường', 'đh', 'công_nghiệp', 'tp', 'hcm', 'vinh_dự', 'nhận', 'cờ', 'thi_đua', 'bằng', 'khen', 'bộ_trưởng', 'bộ', 'công_thương']",trường đh công_nghiệp tp hcm vinh_dự nhận cờ thi_đua bằng khen bộ_trưởng bộ công_thương
389,IUH nằm trong nhóm trường tốt nhất khu vực châu Á,Tin tức,iuh nằm trong nhóm trường tốt nhất khu vực châu á,"['iuh', 'nằm', 'nhóm', 'trường', 'tốt', 'nhất', 'khu_vực', 'châu_á']",iuh nằm nhóm trường tốt nhất khu_vực châu_á
390,IUH tổ chức gặp mặt truyền thống nhân Ngày Nhà giáo Việt Nam 20/11,Tin tức,iuh tổ chức gặp mặt truyền thống nhân ngày nhà giáo việt nam,"['iuh', 'tổ_chức', 'gặp_mặt', 'truyền_thống', 'nhân', 'ngày', 'nhà_giáo', 'việt_nam']",iuh tổ_chức gặp_mặt truyền_thống nhân ngày nhà_giáo việt_nam
391,IUH ký kết hợp tác với Doanh nghiệp và Viện nghiên cứu về nghiên cứu khoa học & chuyển giao công nghệ,Tin tức,iuh ký kết hợp tác với doanh nghiệp và viện nghiên cứu về nghiên cứu khoa học chuyển giao công nghệ,"['iuh', 'ký_kết', 'hợp_tác', 'doanh_nghiệp', 'và_viện', 'nghiên_cứu', 'nghiên_cứu', 'khoa_học', 'chuyển_giao', 'công_nghệ']",iuh ký_kết hợp_tác doanh_nghiệp và_viện nghiên_cứu nghiên_cứu khoa_học chuyển_giao công_nghệ
392,IUH long trọng tổ chức Lễ Khai giảng năm học 2020-2021,Tin tức,iuh long trọng tổ chức lễ khai giảng năm học,"['iuh', 'long_trọng', 'tổ_chức', 'lễ', 'khai_giảng', 'năm_học']",iuh long_trọng tổ_chức lễ khai_giảng năm_học
393,IUH đạt nhiều thành tích xuất sắc trong phong trào thi đua “Dân vận khéo” năm 2025,Hợp tác,iuh đạt nhiều thành tích xuất sắc trong phong trào thi đua dân vận khéo năm,"['iuh', 'đạt', 'nhiều', 'thành_tích', 'xuất_sắc', 'phong_trào', 'thi_đua', 'dân_vận', 'khéo', 'năm']",iuh đạt nhiều thành_tích xuất_sắc phong_trào thi_đua dân_vận khéo năm
394,Sinh viên IUH được lựa chọn trình bày sản phẩm công nghệ trước Tổng Bí thư tại Đại hội Đảng TP. Hồ Chí Minh,Hợp tác,sinh viên iuh được lựa chọn trình bày sản phẩm công nghệ trước tổng bí thư tại đại hội đảng tp hồ chí minh,"['sinh_viên', 'iuh', 'lựa_chọn', 'trình_bày', 'sản_phẩm', 'công_nghệ', 'trước', 'tổng_bí_thư', 'đại_hội', 'đảng', 'tp', 'hồ', 'chí_minh']",sinh_viên iuh lựa_chọn trình_bày sản_phẩm công_nghệ trước tổng_bí_thư đại_hội đảng tp hồ chí_minh
395,"Trang bị kiến thức cho sinh viên về phòng, chống tệ nạn học đường và tội phạm mạng",Hợp tác,trang bị kiến thức cho sinh viên về phòng chống tệ nạn học đường và tội phạm mạng,"['trang_bị', 'kiến_thức', 'sinh_viên', 'phòng_chống', 'tệ_nạn', 'học_đường', 'tội_phạm', 'mạng']",trang_bị kiến_thức sinh_viên phòng_chống tệ_nạn học_đường tội_phạm mạng
396,Bộ Công Thương lấy ý kiến quy chuẩn mới sản phẩm đồ uống có cồn,Hợp tác,bộ công thương lấy ý kiến quy chuẩn mới sản phẩm đồ uống có cồn,"['bộ', 'công_thương', 'lấy', 'ý_kiến', 'quy_chuẩn', 'mới', 'sản_phẩm', 'đồ', 'uống', 'cồn']",bộ công_thương lấy ý_kiến quy_chuẩn mới sản_phẩm đồ uống cồn
397,80 tỷ học bổng năm học 2025 - 2026 tại IUH: Giáo dục không chỉ nuôi dưỡng tri thức mà còn gìn giữ ước mơ,Hợp tác,tỷ học bổng năm học tại iuh giáo dục không chỉ nuôi dưỡng tri thức mà còn gìn giữ ước mơ,"['tỷ', 'học_bổng', 'năm_học', 'iuh', 'giáo_dục', 'không_chỉ', 'nuôi_dưỡng', 'tri_thức', 'mà_còn', 'gìn_giữ', 'ước_mơ']",tỷ học_bổng năm_học iuh giáo_dục không_chỉ nuôi_dưỡng tri_thức mà_còn gìn_giữ ước_mơ
398,"Vượt qua vòng Quốc gia, đội tuyển IUH giành vé vào chung kết lập trình Procon quốc tế",Hợp tác,vượt qua vòng quốc gia đội tuyển iuh giành vé vào chung kết lập trình procon quốc tế,"['vượt', 'qua', 'vòng', 'quốc_gia', 'đội_tuyển', 'iuh', 'giành', 'vé', 'vào', 'chung_kết', 'lập_trình', 'procon', 'quốc_tế']",vượt qua vòng quốc_gia đội_tuyển iuh giành vé vào chung_kết lập_trình procon quốc_tế
399,Giải Nhất Quốc tế cho nhóm sinh viên IUH tại cuộc thi Thiết kế HVAC Midea lần thứ 5,Hợp tác,giải nhất quốc tế cho nhóm sinh viên iuh tại cuộc thi thiết kế hvac midea lần thứ,"['giải', 'nhất', 'quốc_tế', 'nhóm', 'sinh_viên', 'iuh', 'cuộc', 'thi', 'thiết_kế', 'hvac', 'midea', 'lần', 'thứ']",giải nhất quốc_tế nhóm sinh_viên iuh cuộc thi thiết_kế hvac midea lần thứ
400,Đam mê trồng nấm đưa cựu sinh viên IUH trở thành CEO Vinabiomush,Hợp tác,đam mê trồng nấm đưa cựu sinh viên iuh trở thành ceo vinabiomush,"['đam_mê', 'trồng', 'nấm', 'đưa', 'cựu', 'sinh_viên', 'iuh', 'trở_thành', 'ceo', 'vinabiomush']",đam_mê trồng nấm đưa cựu sinh_viên iuh trở_thành ceo vinabiomush
401,Sinh viên Đại học Công nghiệp TP.HCM giành giải Nhất toàn quốc ở Giải thưởng Euréka 2025,Hợp tác,sinh viên đại học công nghiệp tp hcm giành giải nhất toàn quốc ở giải thưởng euréka,"['sinh_viên', 'đại_học', 'công_nghiệp', 'tp', 'hcm', 'giành', 'giải', 'nhất', 'toàn_quốc', 'giải_thưởng', 'euréka']",sinh_viên đại_học công_nghiệp tp hcm giành giải nhất toàn_quốc giải_thưởng euréka
402,IUH hỗ trợ khẩn cấp trang thiết bị và quần áo học sinh cho vùng lũ ngập nặng,Hợp tác,iuh hỗ trợ khẩn cấp trang thiết bị và quần áo học sinh cho vùng lũ ngập nặng,"['iuh', 'hỗ_trợ', 'khẩn_cấp', 'trang_thiết_bị', 'quần_áo', 'học_sinh', 'vùng', 'lũ', 'ngập', 'nặng']",iuh hỗ_trợ khẩn_cấp trang_thiết_bị quần_áo học_sinh vùng lũ ngập nặng
403,"IUH vinh danh và bổ nhiệm 16 GS, PGS năm 2025, tiếp tục tăng cường đội ngũ học thuật",Hợp tác,iuh vinh danh và bổ nhiệm gs pgs năm tiếp tục tăng cường đội ngũ học thuật,"['iuh', 'vinh_danh', 'bổ_nhiệm', 'gs', 'pgs', 'năm', 'tiếp_tục', 'tăng_cường', 'đội_ngũ', 'học_thuật']",iuh vinh_danh bổ_nhiệm gs pgs năm tiếp_tục tăng_cường đội_ngũ học_thuật
404,IUH công bố Nghị quyết bổ nhiệm lại 02 Phó Hiệu trưởng,Hợp tác,iuh công bố nghị quyết bổ nhiệm lại phó hiệu trưởng,"['iuh', 'công_bố', 'nghị_quyết', 'bổ_nhiệm', 'phó', 'hiệu_trưởng']",iuh công_bố nghị_quyết bổ_nhiệm phó hiệu_trưởng
405,Mùa tốt nghiệp - những đại sứ mới của IUH,Hợp tác,mùa tốt nghiệp những đại sứ mới của iuh,"['mùa', 'tốt_nghiệp', 'đại_sứ', 'mới', 'iuh']",mùa tốt_nghiệp đại_sứ mới iuh
406,Sinh viên IUH “vùng rốn lũ” chịu thiệt hại nặng được miễn toàn bộ học phí học kỳ II,Hợp tác,sinh viên iuh vùng rốn lũ chịu thiệt hại nặng được miễn toàn bộ học phí học kỳ ii,"['sinh_viên', 'iuh_vùng', 'rốn', 'lũ', 'chịu', 'thiệt_hại', 'nặng', 'miễn', 'toàn_bộ', 'học_phí', 'học_kỳ', 'ii']",sinh_viên iuh_vùng rốn lũ chịu thiệt_hại nặng miễn toàn_bộ học_phí học_kỳ ii
407,"IUH ký kết hợp tác mới, tăng lợi thế việc làm cho sinh viên Hóa - Dược",Hợp tác,iuh ký kết hợp tác mới tăng lợi thế việc làm cho sinh viên hóa dược,"['iuh', 'ký_kết', 'hợp_tác', 'mới', 'tăng', 'lợi_thế', 'việc_làm', 'sinh_viên', 'hóa', 'dược']",iuh ký_kết hợp_tác mới tăng lợi_thế việc_làm sinh_viên hóa dược
408,Tháng 11 rực rỡ: IUH tôn vinh thầy cô và trao nhiều giải thưởng phong trào,Hợp tác,tháng rực rỡ iuh tôn vinh thầy cô và trao nhiều giải thưởng phong trào,"['tháng', 'rực_rỡ', 'iuh', 'tôn_vinh', 'thầy_cô', 'trao', 'nhiều', 'giải_thưởng', 'phong_trào']",tháng rực_rỡ iuh tôn_vinh thầy_cô trao nhiều giải_thưởng phong_trào
409,"IUH quyên góp hơn 4,3 tỷ đồng hỗ trợ khẩn cấp cho bà con miền Trung",Hợp tác,iuh quyên góp hơn tỷ đồng hỗ trợ khẩn cấp cho bà con miền trung,"['iuh', 'quyên_góp', 'tỷ', 'đồng', 'hỗ_trợ', 'khẩn_cấp', 'bà_con', 'miền', 'trung']",iuh quyên_góp tỷ đồng hỗ_trợ khẩn_cấp bà_con miền trung
410,IUH chào đón 20/11 với nhiều dấu mốc nổi bật và ra mắt bộ nhận diện thương hiệu mới,Hợp tác,iuh chào đón với nhiều dấu mốc nổi bật và ra mắt bộ nhận diện thương hiệu mới,"['iuh', 'chào_đón', 'nhiều', 'dấu', 'mốc', 'nổi_bật', 'ra_mắt', 'bộ', 'nhận_diện', 'thương_hiệu', 'mới']",iuh chào_đón nhiều dấu mốc nổi_bật ra_mắt bộ nhận_diện thương_hiệu mới
411,“Ký ức thầy cô” mùa IV tại IUH: Những người thầy truyền cảm hứng,Hợp tác,ký ức thầy cô mùa iv tại iuh những người thầy truyền cảm hứng,"['ký_ức', 'thầy_cô', 'mùa', 'iv', 'iuh', 'người', 'thầy', 'truyền', 'cảm_hứng']",ký_ức thầy_cô mùa iv iuh người thầy truyền cảm_hứng
412,IUH ký kết hợp tác với đơn vị tư vấn hàng đầu của Việt Nam trong lĩnh vực điện,Hợp tác,iuh ký kết hợp tác với đơn vị tư vấn hàng đầu của việt nam trong lĩnh vực điện,"['iuh', 'ký_kết', 'hợp_tác', 'đơn_vị', 'tư_vấn', 'hàng_đầu', 'việt_nam', 'lĩnh_vực', 'điện']",iuh ký_kết hợp_tác đơn_vị tư_vấn hàng_đầu việt_nam lĩnh_vực điện
413,Khai mạc chương trình giao lưu khoa học và văn hoá Việt - Nhật giữa IUH và TUT tại Tokyo,Hợp tác,khai mạc chương trình giao lưu khoa học và văn hoá việt nhật giữa iuh và tut tại tokyo,"['khai_mạc', 'chương_trình', 'giao_lưu', 'khoa_học', 'văn_hóa', 'việt_nhật', 'giữa', 'iuh', 'tut', 'tokyo']",khai_mạc chương_trình giao_lưu khoa_học văn_hóa việt_nhật giữa iuh tut tokyo
414,Sinh viên Khoa Công nghệ Điện IUH nâng cao năng lực qua chương trình thực tập quốc tế tại Đài Loan,Hợp tác,sinh viên khoa công nghệ điện iuh nâng cao năng lực qua chương trình thực tập quốc tế tại đài loan,"['sinh_viên', 'khoa', 'công_nghệ', 'điện', 'iuh', 'nâng', 'cao', 'năng_lực', 'qua', 'chương_trình', 'thực_tập', 'quốc_tế', 'đài', 'loan']",sinh_viên khoa công_nghệ điện iuh nâng cao năng_lực qua chương_trình thực_tập quốc_tế đài loan
415,IUH mở rộng hợp tác chiến lược với nhiều đối tác giáo dục – doanh nghiệp tại Nhật Bản và Việt Nam,Hợp tác,iuh mở rộng hợp tác chiến lược với nhiều đối tác giáo dục doanh nghiệp tại nhật bản và việt nam,"['iuh', 'mở_rộng', 'hợp_tác', 'chiến_lược', 'nhiều', 'đối_tác', 'giáo_dục', 'doanh_nghiệp', 'nhật_bản', 'việt_nam']",iuh mở_rộng hợp_tác chiến_lược nhiều đối_tác giáo_dục doanh_nghiệp nhật_bản việt_nam
416,Giảng viên IUH tham dự khóa đào tạo quốc tế về quản lý kinh tế tuần hoàn và dệt may bền vững tại Thái Lan - Masci 2025,Hợp tác,giảng viên iuh tham dự khóa đào tạo quốc tế về quản lý kinh tế tuần hoàn và dệt may bền vững tại thái lan masci,"['giảng_viên', 'iuh', 'tham_dự', 'khóa', 'đào_tạo', 'quốc_tế', 'quản_lý', 'kinh_tế', 'tuần_hoàn', 'dệt_may', 'bền_vững', 'thái_lan', 'masci']",giảng_viên iuh tham_dự khóa đào_tạo quốc_tế quản_lý kinh_tế tuần_hoàn dệt_may bền_vững thái_lan masci
417,Sinh viên IUH trải nghiệm học thuật và hoạt động cộng đồng trong chương trình MOBITECH tại Malaysia,Hợp tác,sinh viên iuh trải nghiệm học thuật và hoạt động cộng đồng trong chương trình mobitech tại malaysia,"['sinh_viên', 'iuh', 'trải_nghiệm', 'học_thuật', 'hoạt_động', 'cộng_đồng', 'chương_trình', 'mobitech', 'malaysia']",sinh_viên iuh trải_nghiệm học_thuật hoạt_động cộng_đồng chương_trình mobitech malaysia
418,Đoàn giảng viên IUH tập huấn tại Nhật Bản trong Dự án PIUS về đào tạo kỹ sư ô tô điện,Hợp tác,đoàn giảng viên iuh tập huấn tại nhật bản trong dự án pius về đào tạo kỹ sư ô tô điện,"['đoàn', 'giảng_viên', 'iuh', 'tập_huấn', 'nhật_bản', 'dự_án', 'pius', 'đào_tạo', 'kỹ_sư', 'ô_tô', 'điện']",đoàn giảng_viên iuh tập_huấn nhật_bản dự_án pius đào_tạo kỹ_sư ô_tô điện
419,Đại học Công nghiệp TP. Hồ Chí Minh và Trường Đại học Y tế Wonkwang ký kết hợp tác phát triển nguồn lực chất lượng cao,Hợp tác,đại học công nghiệp tp hồ chí minh và trường đại học y tế wonkwang ký kết hợp tác phát triển nguồn lực chất lượng cao,"['đại_học', 'công_nghiệp', 'tp', 'hồ', 'chí_minh', 'trường', 'đại_học', 'y_tế', 'wonkwang', 'ký_kết', 'hợp_tác', 'phát_triển', 'nguồn_lực', 'chất_lượng', 'cao']",đại_học công_nghiệp tp hồ chí_minh trường đại_học y_tế wonkwang ký_kết hợp_tác phát_triển nguồn_lực chất_lượng cao
420,"Kết nối Việt - Bỉ: IUH, Đại học Liège và Đại học Trà Vinh khởi động Dự án REMAOP",Hợp tác,kết nối việt bỉ iuh đại học liège và đại học trà vinh khởi động dự án remaop,"['kết_nối', 'việt', 'bỉ', 'iuh', 'đại_học', 'liège', 'đại_học', 'trà_vinh', 'khởi_động', 'dự_án', 'remaop']",kết_nối việt bỉ iuh đại_học liège đại_học trà_vinh khởi_động dự_án remaop
421,IUH ký kết Biên bản ghi nhớ hợp tác với Đại học Kristen Krida Wacana (Indonesia),Hợp tác,iuh ký kết biên bản ghi nhớ hợp tác với đại học kristen krida wacana indonesia,"['iuh', 'ký_kết', 'biên_bản_ghi_nhớ', 'hợp_tác', 'đại_học', 'kristen', 'krida', 'wacana', 'indonesia']",iuh ký_kết biên_bản_ghi_nhớ hợp_tác đại_học kristen krida wacana indonesia
422,Hội nghị triển khai hoạt động của Dự án Erasmus “GREEN EDU-SEEDS” tại Đại học Công nghiệp TP. HCM,Hợp tác,hội nghị triển khai hoạt động của dự án erasmus green edu seeds tại đại học công nghiệp tp hcm,"['hội_nghị', 'triển_khai', 'hoạt_động', 'dự_án', 'erasmus', 'green', 'edu', 'seeds', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",hội_nghị triển_khai hoạt_động dự_án erasmus green edu seeds đại_học công_nghiệp tp hcm
423,Sinh viên IUH - Cơ hội làm việc và phát triển sự nghiệp toàn cầu tại CHLB Đức,Hợp tác,sinh viên iuh cơ hội làm việc và phát triển sự nghiệp toàn cầu tại chlb đức,"['sinh_viên', 'iuh', 'cơ_hội', 'làm_việc', 'phát_triển', 'sự_nghiệp', 'toàn_cầu', 'chlb', 'đức']",sinh_viên iuh cơ_hội làm_việc phát_triển sự_nghiệp toàn_cầu chlb đức
424,"IUH cùng TUT triển khai Dự án Glocal STEAM: Cầu nối giữa khoa học, kỹ thuật với thế giới & địa phương",Hợp tác,iuh cùng tut triển khai dự án glocal steam cầu nối giữa khoa học kỹ thuật với thế giới địa phương,"['iuh', 'cùng', 'tut', 'triển_khai', 'dự_án', 'glocal', 'steam', 'cầu_nối', 'giữa', 'khoa_học_kỹ_thuật', 'thế_giới', 'địa_phương']",iuh cùng tut triển_khai dự_án glocal steam cầu_nối giữa khoa_học_kỹ_thuật thế_giới địa_phương
425,Từ Google đến Việt Nam: Sinh viên Pháp chọn IUH cho kỳ thực tập quốc tế,Hợp tác,từ google đến việt nam sinh viên pháp chọn iuh cho kỳ thực tập quốc tế,"['google', 'việt_nam', 'sinh_viên', 'pháp', 'chọn', 'iuh', 'kỳ_thực_tập', 'quốc_tế']",google việt_nam sinh_viên pháp chọn iuh kỳ_thực_tập quốc_tế
426,Khép lại hành trình đáng nhớ: Sinh viên IUH hoàn thành khoá huấn luyện điện hạt nhân tại Nga,Hợp tác,khép lại hành trình đáng nhớ sinh viên iuh hoàn thành khoá huấn luyện điện hạt nhân tại nga,"['khép', 'hành_trình', 'đáng', 'nhớ', 'sinh_viên', 'iuh', 'hoàn_thành', 'khóa', 'huấn_luyện', 'điện', 'hạt_nhân', 'nga']",khép hành_trình đáng nhớ sinh_viên iuh hoàn_thành khóa huấn_luyện điện hạt_nhân nga
427,"Giảng viên IUH tham dự khóa đào tạo quốc tế tại Trung Quốc: Kết nối tri thức, mở rộng hợp tác",Hợp tác,giảng viên iuh tham dự khóa đào tạo quốc tế tại trung quốc kết nối tri thức mở rộng hợp tác,"['giảng_viên', 'iuh', 'tham_dự', 'khóa', 'đào_tạo', 'quốc_tế', 'trung_quốc', 'kết_nối', 'tri_thức', 'mở_rộng', 'hợp_tác']",giảng_viên iuh tham_dự khóa đào_tạo quốc_tế trung_quốc kết_nối tri_thức mở_rộng hợp_tác
428,"IUH chào đón đoàn sinh viên Pháp: Gắn kết tri thức, văn hóa",Hợp tác,iuh chào đón đoàn sinh viên pháp gắn kết tri thức văn hóa,"['iuh', 'chào_đón', 'đoàn', 'sinh_viên', 'pháp', 'gắn_kết', 'tri_thức', 'văn_hóa']",iuh chào_đón đoàn sinh_viên pháp gắn_kết tri_thức văn_hóa
429,Đại học Công nghiệp TP. HCM ký kết hợp tác chiến lược với Altair Engineering và ThinkSmart,Hợp tác,đại học công nghiệp tp hcm ký kết hợp tác chiến lược với altair engineering và thinksmart,"['đại_học', 'công_nghiệp', 'tp', 'hcm', 'ký_kết', 'hợp_tác', 'chiến_lược', 'altair', 'engineering', 'thinksmart']",đại_học công_nghiệp tp hcm ký_kết hợp_tác chiến_lược altair engineering thinksmart
430,"Giảng viên IUH tham gia chương trình trao đổi giảng viên tại Đại học Quốc lập Trung Chính, Đài Loan",Hợp tác,giảng viên iuh tham gia chương trình trao đổi giảng viên tại đại học quốc lập trung chính đài loan,"['giảng_viên', 'iuh', 'tham_gia', 'chương_trình', 'trao_đổi', 'giảng_viên', 'đại_học', 'quốc_lập', 'trung_chính', 'đài', 'loan']",giảng_viên iuh tham_gia chương_trình trao_đổi giảng_viên đại_học quốc_lập trung_chính đài loan
431,IUH ký kết hợp tác chiến lược với Trường Đại học Siam (Thái Lan),Hợp tác,iuh ký kết hợp tác chiến lược với trường đại học siam thái lan,"['iuh', 'ký_kết', 'hợp_tác', 'chiến_lược', 'trường', 'đại_học', 'siam_thái_lan']",iuh ký_kết hợp_tác chiến_lược trường đại_học siam_thái_lan
432,"Sôi nổi loạt hoạt động Tuần lễ giao lưu văn hóa, khoa học sinh viên quốc tế lần 3, năm 2025",Hợp tác,sôi nổi loạt hoạt động tuần lễ giao lưu văn hóa khoa học sinh viên quốc tế lần năm,"['sôi', 'nổi_loạt', 'hoạt_động', 'tuần_lễ', 'giao_lưu_văn', 'hóa', 'khoa_học_sinh_viên', 'quốc_tế', 'lần', 'năm']",sôi nổi_loạt hoạt_động tuần_lễ giao_lưu_văn hóa khoa_học_sinh_viên quốc_tế lần năm
433,Đại học Công nghiệp TP. HCM tham gia dự án Green Edu Seeds của quỹ Erasmus,Hợp tác,đại học công nghiệp tp hcm tham gia dự án green edu seeds của quỹ erasmus,"['đại_học', 'công_nghiệp', 'tp', 'hcm', 'tham_gia', 'dự_án', 'green', 'edu_seeds', 'quỹ', 'erasmus']",đại_học công_nghiệp tp hcm tham_gia dự_án green edu_seeds quỹ erasmus
434,Giảng viên IUH tham gia chương trình trao đổi giảng viên tại trường Đại học Kasem Bundit (Thái Lan),Hợp tác,giảng viên iuh tham gia chương trình trao đổi giảng viên tại trường đại học kasem bundit thái lan,"['giảng_viên', 'iuh', 'tham_gia', 'chương_trình', 'trao_đổi', 'giảng_viên', 'trường', 'đại_học', 'kasem', 'bundit_thái_lan']",giảng_viên iuh tham_gia chương_trình trao_đổi giảng_viên trường đại_học kasem bundit_thái_lan
435,Hưởng lương hơn 30 triệu/tháng cho sinh viên IUH tham gia chương trình thực tập nước ngoài,Hợp tác,hưởng lương hơn triệu tháng cho sinh viên iuh tham gia chương trình thực tập nước ngoài,"['hưởng', 'lương', 'triệu', 'tháng', 'sinh_viên', 'iuh', 'tham_gia', 'chương_trình', 'thực_tập', 'nước_ngoài']",hưởng lương triệu tháng sinh_viên iuh tham_gia chương_trình thực_tập nước_ngoài
436,"Dành 12 ngàn đô học bổng cho sinh viên IUH tham gia chương trình 1+3, 2+2 tại Mỹ",Hợp tác,dành ngàn đô học bổng cho sinh viên iuh tham gia chương trình tại mỹ,"['dành', 'ngàn', 'đô', 'học_bổng', 'sinh_viên', 'iuh', 'tham_gia', 'chương_trình', 'mỹ']",dành ngàn đô học_bổng sinh_viên iuh tham_gia chương_trình mỹ
