STT,Thông tin,Label,thong_tin_norm_vi,tokens_vi,thong_tin_final_vi,STT,information,Label,thong_tin_norm_en,tokens_en,thong_tin_final_en
309,"Trường Đại học Công nghiệp TP. HCM tổ chức Hội nghị cán bộ, viên chức năm 2014 thành công tốt đẹp",Tin tức,trường đại học công nghiệp tp hcm tổ chức hội nghị cán bộ viên chức năm thành công tốt đẹp,"['trường', 'đại_học', 'công_nghiệp', 'tp', 'hcm', 'tổ_chức', 'hội_nghị', 'cán_bộ', 'viên_chức', 'năm', 'thành_công', 'tốt_đẹp']",trường đại_học công_nghiệp tp hcm tổ_chức hội_nghị cán_bộ viên_chức năm thành_công tốt_đẹp,309,IUH lecturers attend international training course on circular economy management and sustainable textiles in Thailand - Masci 2025,Hợp tác,iuh lecturers attend international training course on circular economy management and sustainable textiles in thailand masci,"['iuh', 'lecturer', 'attend', 'international', 'training', 'course', 'circular', 'economy', 'management', 'sustainable', 'textile', 'thailand', 'masci']",iuh lecturer attend international training course circular economy management sustainable textile thailand masci
310,Kỷ niệm 9 năm ngày thành lập Trường Đại học Công nghiệp TP. HCM,Tin tức,kỷ niệm năm ngày thành lập trường đại học công nghiệp tp hcm,"['kỷ_niệm', 'năm', 'ngày', 'thành_lập', 'trường', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",kỷ_niệm năm ngày thành_lập trường đại_học công_nghiệp tp hcm,310,IUH students experience academics and community activities in the MOBITECH program in Malaysia,Hợp tác,iuh students experience academics and community activities in the mobitech program in malaysia,"['iuh', 'student', 'experience', 'academic', 'community', 'activity', 'mobitech', 'program', 'malaysia']",iuh student experience academic community activity mobitech program malaysia
311,Hội nghị tổng kết hoạt động công đoàn năm học 2012-2013 và triển khai chương trình hoạt động năm học 2013-2014,Tin tức,hội nghị tổng kết hoạt động công đoàn năm học và triển khai chương trình hoạt động năm học,"['hội_nghị', 'tổng_kết', 'hoạt_động', 'công_đoàn', 'năm_học', 'triển_khai', 'chương_trình', 'hoạt_động', 'năm_học']",hội_nghị tổng_kết hoạt_động công_đoàn năm_học triển_khai chương_trình hoạt_động năm_học,311,IUH lecturers train in Japan under the PIUS Project on training electric car engineers,Hợp tác,iuh lecturers train in japan under the pius project on training electric car engineers,"['iuh', 'lecturer', 'train', 'japan', 'pius', 'project', 'train', 'electric', 'car', 'engineer']",iuh lecturer train japan pius project train electric car engineer
312,Triển lãm sách chào mừng Ngày sách Việt Nam lần thứ II,Tin tức,triển lãm sách chào mừng ngày sách việt nam lần thứ ii,"['triển_lãm', 'sách', 'chào_mừng', 'ngày', 'sách', 'việt_nam', 'lần', 'thứ', 'ii']",triển_lãm sách chào_mừng ngày sách việt_nam lần thứ ii,312,City University of Industry. Ho Chi Minh City and Wonkwang Medical University signed a cooperation agreement to develop high-quality resources,Hợp tác,city university of industry ho chi minh city and wonkwang medical university signed a cooperation agreement to develop high quality resources,"['city', 'university', 'industry', 'chi', 'minh', 'city', 'wonkwang', 'medical', 'university', 'sign', 'cooperation', 'agreement', 'develop', 'high', 'quality', 'resource']",city university industry chi minh city wonkwang medical university sign cooperation agreement develop high quality resource
313,Hội nghị Cán bộ - Viên chức Trường Đại học Công nghiệp TPHCM năm 2015 thành công tốt đẹp,Tin tức,hội nghị cán bộ viên chức trường đại học công nghiệp tphcm năm thành công tốt đẹp,"['hội_nghị', 'cán_bộ', 'viên_chức', 'trường', 'đại_học', 'công_nghiệp', 'tphcm', 'năm', 'thành_công', 'tốt_đẹp']",hội_nghị cán_bộ viên_chức trường đại_học công_nghiệp tphcm năm thành_công tốt_đẹp,313,"Connecting Vietnam - Belgium: IUH, University of Liège and Tra Vinh University launch REMAOP Project",Hợp tác,connecting vietnam belgium iuh university of li ge and tra vinh university launch remaop project,"['connect', 'vietnam', 'belgium', 'iuh', 'university', 'tra', 'vinh', 'university', 'launch', 'remaop', 'project']",connect vietnam belgium iuh university tra vinh university launch remaop project
314,Lễ công bố quyết định bổ nhiệm phó giáo sư năm 2014,Tin tức,lễ công bố quyết định bổ nhiệm phó giáo sư năm,"['lễ', 'công_bố', 'quyết_định', 'bổ_nhiệm', 'phó', 'giáo_sư', 'năm']",lễ công_bố quyết_định bổ_nhiệm phó giáo_sư năm,314,IUH signed a Memorandum of Understanding with Kristen Krida Wacana University (Indonesia),Hợp tác,iuh signed a memorandum of understanding with kristen krida wacana university indonesia,"['iuh', 'sign', 'memorandum', 'understand', 'kristen', 'krida', 'wacana', 'university', 'indonesia']",iuh sign memorandum understand kristen krida wacana university indonesia
315,Lễ công bố quyết định bổ nhiệm Hiệu trưởng Trường Đại học Công nghiệp TPHCM,Tin tức,lễ công bố quyết định bổ nhiệm hiệu trưởng trường đại học công nghiệp tphcm,"['lễ', 'công_bố', 'quyết_định', 'bổ_nhiệm', 'hiệu_trưởng', 'trường', 'đại_học', 'công_nghiệp', 'tphcm']",lễ công_bố quyết_định bổ_nhiệm hiệu_trưởng trường đại_học công_nghiệp tphcm,315,"Conference to deploy activities of Erasmus Project ""GREEN EDU-SEEDS"" at Ho Chi Minh City University of Industry. HCM",Hợp tác,conference to deploy activities of erasmus project green edu seeds at ho chi minh city university of industry hcm,"['conference', 'deploy', 'activity', 'erasmus', 'project', 'green', 'edu', 'seed', 'chi', 'minh', 'city', 'university', 'industry', 'hcm']",conference deploy activity erasmus project green edu seed chi minh city university industry hcm
316,9 sinh viên xuất sắc của Trường Đại học Công nghiệp TPHCM nhận học bổng Toyota 2014,Tin tức,sinh viên xuất sắc của trường đại học công nghiệp tphcm nhận học bổng toyota,"['sinh_viên', 'xuất_sắc', 'trường', 'đại_học', 'công_nghiệp', 'tphcm', 'nhận', 'học_bổng', 'toyota']",sinh_viên xuất_sắc trường đại_học công_nghiệp tphcm nhận học_bổng toyota,316,IUH students - Opportunities to work and develop a global career in Germany,Hợp tác,iuh students opportunities to work and develop a global career in germany,"['iuh', 'student', 'opportunity', 'work', 'develop', 'global', 'career', 'germany']",iuh student opportunity work develop global career germany
317,Kỷ niệm 10 năm kế thừa và phát triển Trường Đại học Công nghiệp TPHCM,Tin tức,kỷ niệm năm kế thừa và phát triển trường đại học công nghiệp tphcm,"['kỷ_niệm', 'năm', 'kế_thừa', 'phát_triển', 'trường', 'đại_học', 'công_nghiệp', 'tphcm']",kỷ_niệm năm kế_thừa phát_triển trường đại_học công_nghiệp tphcm,317,IUH and TUT implement the Glocal STEAM Project: A bridge between science and technology with the world and localities,Hợp tác,iuh and tut implement the glocal steam project a bridge between science and technology with the world and localities,"['iuh', 'tut', 'implement', 'glocal', 'steam', 'project', 'bridge', 'science', 'technology', 'world', 'locality']",iuh tut implement glocal steam project bridge science technology world locality
318,Họp mặt doanh nghiệp và cựu sinh viên Trường Đại học Công nghiệp TPHCM năm 2014,Tin tức,họp mặt doanh nghiệp và cựu sinh viên trường đại học công nghiệp tphcm năm,"['họp_mặt', 'doanh_nghiệp', 'cựu', 'sinh_viên', 'trường', 'đại_học', 'công_nghiệp', 'tphcm', 'năm']",họp_mặt doanh_nghiệp cựu sinh_viên trường đại_học công_nghiệp tphcm năm,318,From Google to Vietnam: French students choose IUH for international internships,Hợp tác,from google to vietnam french students choose iuh for international internships,"['google', 'vietnam', 'french', 'student', 'choose', 'iuh', 'international', 'internship']",google vietnam french student choose iuh international internship
319,Thêm 24 thạc sĩ quản lý tài nguyên môi trường và kỹ thuật môi trường,Tin tức,thêm thạc sĩ quản lý tài nguyên môi trường và kỹ thuật môi trường,"['thêm', 'thạc_sĩ', 'quản_lý', 'tài_nguyên', 'môi_trường', 'kỹ_thuật', 'môi_trường']",thêm thạc_sĩ quản_lý tài_nguyên môi_trường kỹ_thuật môi_trường,319,Closing a memorable journey: IUH students complete nuclear power training course in Russia,Hợp tác,closing a memorable journey iuh students complete nuclear power training course in russia,"['close', 'memorable', 'journey', 'iuh', 'student', 'complete', 'nuclear', 'power', 'training', 'course', 'russia']",close memorable journey iuh student complete nuclear power training course russia
320,"Lễ bế giảng và trao bằng tốt nghiệp cho các tân cử nhân, tân kỹ sư",Tin tức,lễ bế giảng và trao bằng tốt nghiệp cho các tân cử nhân tân kỹ sư,"['lễ', 'bế', 'giảng', 'trao', 'bằng', 'tốt_nghiệp', 'tân_cử', 'nhân_tân', 'kỹ_sư']",lễ bế giảng trao bằng tốt_nghiệp tân_cử nhân_tân kỹ_sư,320,"IUH lecturers attend international training course in China: Connecting knowledge, expanding cooperation",Hợp tác,iuh lecturers attend international training course in china connecting knowledge expanding cooperation,"['iuh', 'lecturer', 'attend', 'international', 'training', 'course', 'china', 'connect', 'knowledge', 'expand', 'cooperation']",iuh lecturer attend international training course china connect knowledge expand cooperation
321,Lễ kỷ niệm ngày Nhà giáo Việt Nam 20/11,Tin tức,lễ kỷ niệm ngày nhà giáo việt nam,"['lễ', 'kỷ_niệm', 'ngày', 'nhà_giáo', 'việt_nam']",lễ kỷ_niệm ngày nhà_giáo việt_nam,321,IUH welcomes the French student delegation: Connecting knowledge and culture,Hợp tác,iuh welcomes the french student delegation connecting knowledge and culture,"['iuh', 'welcome', 'french', 'student', 'delegation', 'connect', 'knowledge', 'culture']",iuh welcome french student delegation connect knowledge culture
322,"Trường Đại học Công nghiệp TP.HCM tổng khai giảng năm học mới 2014-2015 chào đón 13.500 tân học sinh, sinh viên",Tin tức,trường đại học công nghiệp tp hcm tổng khai giảng năm học mới chào đón tân học sinh sinh viên,"['trường', 'đại_học', 'công_nghiệp', 'tp', 'hcm', 'tổng', 'khai_giảng', 'năm_học', 'mới', 'chào_đón', 'tân', 'học_sinh', 'sinh_viên']",trường đại_học công_nghiệp tp hcm tổng khai_giảng năm_học mới chào_đón tân học_sinh sinh_viên,322,City University of Industry. HCM signed a strategic cooperation agreement with Altair Engineering and ThinkSmart,Hợp tác,city university of industry hcm signed a strategic cooperation agreement with altair engineering and thinksmart,"['city', 'university', 'industry', 'hcm', 'sign', 'strategic', 'cooperation', 'agreement', 'altair', 'engineering', 'thinksmart']",city university industry hcm sign strategic cooperation agreement altair engineering thinksmart
323,Khai giảng năm học mới 2014-2015 tại Cơ sở Quảng Ngãi - Trường Đại học Công nghiệp TPHCM,Tin tức,khai giảng năm học mới tại cơ sở quảng ngãi trường đại học công nghiệp tphcm,"['khai_giảng', 'năm_học', 'mới', 'cơ_sở', 'quảng_ngãi', 'trường', 'đại_học', 'công_nghiệp', 'tphcm']",khai_giảng năm_học mới cơ_sở quảng_ngãi trường đại_học công_nghiệp tphcm,323,"IUH lecturers participate in the lecturer exchange program at National Zhongzheng University, Taiwan",Hợp tác,iuh lecturers participate in the lecturer exchange program at national zhongzheng university taiwan,"['iuh', 'lecturer', 'participate', 'lecturer', 'exchange', 'program', 'national', 'zhongzheng', 'university', 'taiwan']",iuh lecturer participate lecturer exchange program national zhongzheng university taiwan
324,Trường Đại học Công nghiệp TPHCM khai giảng năm học mới tại Cơ sở Thanh Hóa,Tin tức,trường đại học công nghiệp tphcm khai giảng năm học mới tại cơ sở thanh hóa,"['trường', 'đại_học', 'công_nghiệp', 'tphcm', 'khai_giảng', 'năm_học', 'mới', 'cơ_sở', 'thanh_hóa']",trường đại_học công_nghiệp tphcm khai_giảng năm_học mới cơ_sở thanh_hóa,324,IUH signed a strategic cooperation agreement with Siam University (Thailand),Hợp tác,iuh signed a strategic cooperation agreement with siam university thailand,"['iuh', 'sign', 'strategic', 'cooperation', 'agreement', 'siam', 'university', 'thailand']",iuh sign strategic cooperation agreement siam university thailand
325,Điểm thi IUH - Vòng Quốc gia Online ACM/ICPC 2014,Tin tức,điểm thi iuh vòng quốc gia online acm icpc,"['điểm', 'thi', 'iuh_vòng', 'quốc_gia', 'online', 'acm', 'icpc']",điểm thi iuh_vòng quốc_gia online acm icpc,325,City University of Industry. HCM participates in the Green Edu Seeds project of the Erasmus fund,Hợp tác,city university of industry hcm participates in the green edu seeds project of the erasmus fund,"['city', 'university', 'industry', 'hcm', 'participate', 'green', 'edu', 'seed', 'project', 'erasmus', 'fund']",city university industry hcm participate green edu seed project erasmus fund
326,Hội nghị khoa học lần 5 Trường Đại học Công nghiệp TPHCM: Công bố gần 100 công trình khoa học,Tin tức,hội nghị khoa học lần trường đại học công nghiệp tphcm công bố gần công trình khoa học,"['hội_nghị', 'khoa_học', 'lần', 'trường', 'đại_học', 'công_nghiệp', 'tphcm', 'công_bố', 'gần', 'công_trình', 'khoa_học']",hội_nghị khoa_học lần trường đại_học công_nghiệp tphcm công_bố gần công_trình khoa_học,326,IUH lecturers participate in the lecturer exchange program at Kasem Bundit University (Thailand),Hợp tác,iuh lecturers participate in the lecturer exchange program at kasem bundit university thailand,"['iuh', 'lecturer', 'participate', 'lecturer', 'exchange', 'program', 'kasem', 'bundit', 'university', 'thailand']",iuh lecturer participate lecturer exchange program kasem bundit university thailand
327,Thương hiệu đào tạo nguồn nhân lực chất lượng cao,Tin tức,thương hiệu đào tạo nguồn nhân lực chất lượng cao,"['thương_hiệu', 'đào_tạo', 'nguồn', 'nhân_lực', 'chất_lượng', 'cao']",thương_hiệu đào_tạo nguồn nhân_lực chất_lượng cao,327,Salary of more than 30 million/month for IUH students participating in foreign internship programs,Hợp tác,salary of more than million month for iuh students participating in foreign internship programs,"['salary', 'million', 'month', 'iuh', 'student', 'participate', 'foreign', 'internship', 'program']",salary million month iuh student participate foreign internship program
328,Triển lãm sách chào mừng Ngày sách Việt Nam lần thứ III năm 2016,Tin tức,triển lãm sách chào mừng ngày sách việt nam lần thứ iii năm,"['triển_lãm', 'sách', 'chào_mừng', 'ngày', 'sách', 'việt_nam', 'lần', 'thứ', 'iii', 'năm']",triển_lãm sách chào_mừng ngày sách việt_nam lần thứ iii năm,328,"Dedicate 12 thousand dollars in scholarships to IUH students participating in 1+3, 2+2 programs in the US",Hợp tác,dedicate thousand dollars in scholarships to iuh students participating in programs in the us,"['dedicate', 'thousand', 'dollar', 'scholarships', 'iuh', 'student', 'participate', 'program']",dedicate thousand dollar scholarships iuh student participate program
329,Hội thi sinh viên sáng tạo sản phẩm mới lần thứ VII năm 2016,Tin tức,hội thi sinh viên sáng tạo sản phẩm mới lần thứ vii năm,"['hội', 'thi', 'sinh_viên', 'sáng_tạo', 'sản_phẩm', 'mới', 'lần', 'thứ', 'vii', 'năm']",hội thi sinh_viên sáng_tạo sản_phẩm mới lần thứ vii năm,329,IUH signed an MOU with a business belonging to OS Group (Japan),Hợp tác,iuh signed an mou with a business belonging to os group japan,"['iuh', 'sign', 'mou', 'business', 'belong', 'group', 'japan']",iuh sign mou business belong group japan
330,Sinh viên IUH tiếp tục đạt giải cao tại Imagine Cup 2016,Tin tức,sinh viên iuh tiếp tục đạt giải cao tại imagine cup,"['sinh_viên', 'iuh', 'tiếp_tục', 'đạt', 'giải', 'cao', 'imagine', 'cup']",sinh_viên iuh tiếp_tục đạt giải cao imagine cup,330,City University of Industry. HCM and Tokyo University of Technology signed a cooperation agreement,Hợp tác,city university of industry hcm and tokyo university of technology signed a cooperation agreement,"['city', 'university', 'industry', 'hcm', 'tokyo', 'university', 'technology', 'sign', 'cooperation', 'agreement']",city university industry hcm tokyo university technology sign cooperation agreement
331,"""SV2016"": Trường Đại học Công nghiệp Tp.HCM xuất sắc vào chung kết miền Nam",Tin tức,sv trường đại học công nghiệp tp hcm xuất sắc vào chung kết miền nam,"['sv', 'trường', 'đại_học', 'công_nghiệp', 'tp', 'hcm', 'xuất_sắc', 'vào', 'chung_kết', 'miền', 'nam']",sv trường đại_học công_nghiệp tp hcm xuất_sắc vào chung_kết miền nam,331,Nearly 300 international students gathered for a cultural and scientific exchange week at the City University of Industry. HCM,Hợp tác,nearly international students gathered for a cultural and scientific exchange week at the city university of industry hcm,"['nearly', 'international', 'student', 'gathered', 'cultural', 'scientific', 'exchange', 'week', 'city', 'university', 'industry', 'hcm']",nearly international student gathered cultural scientific exchange week city university industry hcm
332,Bế mạc Hội thi tay nghề Bộ Công Thương năm 2016,Tin tức,bế mạc hội thi tay nghề bộ công thương năm,"['bế_mạc', 'hội', 'thi', 'tay_nghề', 'bộ', 'công_thương', 'năm']",bế_mạc hội thi tay_nghề bộ công_thương năm,332,Bright summer days at IUH for students of National Yilan University - Taiwan (NIU),Hợp tác,bright summer days at iuh for students of national yilan university taiwan niu,"['bright', 'summer', 'day', 'iuh', 'student', 'national', 'yilan', 'university', 'taiwan', 'niu']",bright summer day iuh student national yilan university taiwan niu
333,Vòng loại Cuộc thi Tin học văn phòng quốc tế (MOSWC) 2016 tại Trường Đại học Công nghiệp TPHCM,Tin tức,vòng loại cuộc thi tin học văn phòng quốc tế moswc tại trường đại học công nghiệp tphcm,"['vòng', 'loại', 'cuộc', 'thi', 'tin_học', 'văn_phòng', 'quốc_tế', 'moswc', 'trường', 'đại_học', 'công_nghiệp', 'tphcm']",vòng loại cuộc thi tin_học văn_phòng quốc_tế moswc trường đại_học công_nghiệp tphcm,333,IUH welcomed and worked with WU - Korea on dental products,Hợp tác,iuh welcomed and worked with wu korea on dental products,"['iuh', 'welcome', 'work', 'korea', 'dental', 'product']",iuh welcome work korea dental product
334,"Hội thảo lấy ý kiến về mục tiêu đào tạo, chuẩn đầu ra ngành Công nghệ thông tin theo chuẩn ABET",Tin tức,hội thảo lấy ý kiến về mục tiêu đào tạo chuẩn đầu ra ngành công nghệ thông tin theo chuẩn abet,"['hội_thảo', 'lấy', 'ý_kiến', 'mục_tiêu', 'đào_tạo', 'chuẩn', 'đầu_ra', 'ngành', 'công_nghệ_thông_tin', 'chuẩn', 'abet']",hội_thảo lấy ý_kiến mục_tiêu đào_tạo chuẩn đầu_ra ngành công_nghệ_thông_tin chuẩn abet,334,IUH students in Japan: A journey of learning and experience,Hợp tác,iuh students in japan a journey of learning and experience,"['iuh', 'student', 'japan', 'journey', 'learning', 'experience']",iuh student japan journey learning experience
335,Lễ bế giảng khóa cao học liên kết đào tạo MBA-SS3 và khai giảng khóa MBA-SS5,Tin tức,lễ bế giảng khóa cao học liên kết đào tạo mba ss và khai giảng khóa mba ss,"['lễ', 'bế', 'giảng_khóa', 'cao_học', 'liên_kết', 'đào_tạo', 'mba', 'ss', 'khai_giảng', 'khóa', 'mba', 'ss']",lễ bế giảng_khóa cao_học liên_kết đào_tạo mba ss khai_giảng khóa mba ss,335,Week celebrating the 50th anniversary of establishing diplomatic relations between Japan and Vietnam at IUH,Hợp tác,week celebrating the th anniversary of establishing diplomatic relations between japan and vietnam at iuh,"['week', 'celebrate', 'anniversary', 'establish', 'diplomatic', 'relation', 'japan', 'vietnam', 'iuh']",week celebrate anniversary establish diplomatic relation japan vietnam iuh
336,Hội nghị Cán bộ - Viên chức Trường Đại học Công nghiệp TPHCM năm 2016 thành công tốt đẹp,Tin tức,hội nghị cán bộ viên chức trường đại học công nghiệp tphcm năm thành công tốt đẹp,"['hội_nghị', 'cán_bộ', 'viên_chức', 'trường', 'đại_học', 'công_nghiệp', 'tphcm', 'năm', 'thành_công', 'tốt_đẹp']",hội_nghị cán_bộ viên_chức trường đại_học công_nghiệp tphcm năm thành_công tốt_đẹp,336,Students of the Faculty of Electrical Technology participate in a study exchange in Taiwan,Hợp tác,students of the faculty of electrical technology participate in a study exchange in taiwan,"['student', 'faculty', 'electrical', 'technology', 'participate', 'study', 'exchange', 'taiwan']",student faculty electrical technology participate study exchange taiwan
337,"Họp mặt cán bộ, viên chức hưu trí Xuân Bính Thân 2016",Tin tức,họp mặt cán bộ viên chức hưu trí xuân bính thân,"['họp_mặt', 'cán_bộ', 'viên_chức', 'hưu_trí', 'xuân', 'bính', 'thân']",họp_mặt cán_bộ viên_chức hưu_trí xuân bính thân,337,IUH students actively participate in training exchange programs in Thailand,Hợp tác,iuh students actively participate in training exchange programs in thailand,"['iuh', 'student', 'actively', 'participate', 'train', 'exchange', 'program', 'thailand']",iuh student actively participate train exchange program thailand
338,Sinh viên Trường ĐH Công nghiệp TPHCM xuất sắc dẫn đầu lĩnh vực kỹ thuật và môi trường Euréka 2015,Tin tức,sinh viên trường đh công nghiệp tphcm xuất sắc dẫn đầu lĩnh vực kỹ thuật và môi trường euréka,"['sinh_viên', 'trường', 'đh', 'công_nghiệp', 'tphcm', 'xuất_sắc', 'dẫn_đầu', 'lĩnh_vực', 'kỹ_thuật', 'môi_trường', 'euréka']",sinh_viên trường đh công_nghiệp tphcm xuất_sắc dẫn_đầu lĩnh_vực kỹ_thuật môi_trường euréka,338,International cultural and scientific exchange week at Ho Chi Minh City University of Industry,Hợp tác,international cultural and scientific exchange week at ho chi minh city university of industry,"['international', 'cultural', 'scientific', 'exchange', 'week', 'chi', 'minh', 'city', 'university', 'industry']",international cultural scientific exchange week chi minh city university industry
339,Sinh viên Trường ĐH Công nghiệp TP.HCM nhận giải thưởng CNTT-TT TP.HCM năm 2015,Tin tức,sinh viên trường đh công nghiệp tp hcm nhận giải thưởng cntt tt tp hcm năm,"['sinh_viên', 'trường', 'đh', 'công_nghiệp', 'tp', 'hcm', 'nhận', 'giải_thưởng', 'cntt', 'tt', 'tp', 'hcm', 'năm']",sinh_viên trường đh công_nghiệp tp hcm nhận giải_thưởng cntt tt tp hcm năm,339,IUH promotes cooperation with leading Thai universities,Hợp tác,iuh promotes cooperation with leading thai universities,"['iuh', 'promote', 'cooperation', 'lead', 'thai', 'university']",iuh promote cooperation lead thai university
340,Sinh viên Trường Đại học Công nghiệp TPHCM được tặng thưởng Huân chương Lao động hạng Ba,Tin tức,sinh viên trường đại học công nghiệp tphcm được tặng thưởng huân chương lao động hạng ba,"['sinh_viên', 'trường', 'đại_học', 'công_nghiệp', 'tphcm', 'tặng_thưởng', 'huân_chương', 'lao_động', 'hạng', 'ba']",sinh_viên trường đại_học công_nghiệp tphcm tặng_thưởng huân_chương lao_động hạng ba,340,Ho Chi Minh City University of Industry works with the Vietnam - Korea Association of Entrepreneurs and Investment,Hợp tác,ho chi minh city university of industry works with the vietnam korea association of entrepreneurs and investment,"['chi', 'minh', 'city', 'university', 'industry', 'work', 'vietnam', 'korea', 'association', 'entrepreneur', 'investment']",chi minh city university industry work vietnam korea association entrepreneur investment
341,Triển lãm ảnh “60 giải pháp ứng phó với biến đổi khí hậu”,Tin tức,triển lãm ảnh giải pháp ứng phó với biến đổi khí hậu,"['triển_lãm', 'ảnh', 'giải_pháp', 'ứng_phó', 'biến_đổi', 'khí_hậu']",triển_lãm ảnh giải_pháp ứng_phó biến_đổi khí_hậu,341,Promote international signing and cooperation at IUH,Hợp tác,promote international signing and cooperation at iuh,"['promote', 'international', 'signing', 'cooperation', 'iuh']",promote international signing cooperation iuh
342,Trường Đại học Công nghiệp TP. Hồ Chí Minh khai giảng khóa đào tạo trình độ tiến sĩ đầu tiên,Tin tức,trường đại học công nghiệp tp hồ chí minh khai giảng khóa đào tạo trình độ tiến sĩ đầu tiên,"['trường', 'đại_học', 'công_nghiệp', 'tp', 'hồ', 'chí_minh', 'khai', 'giảng_khóa', 'đào_tạo', 'trình_độ', 'tiến_sĩ', 'đầu_tiên']",trường đại_học công_nghiệp tp hồ chí_minh khai giảng_khóa đào_tạo trình_độ tiến_sĩ đầu_tiên,342,IUH signed a memorandum of cooperation with the Korea Institute of Industrial Technology (KITECH),Hợp tác,iuh signed a memorandum of cooperation with the korea institute of industrial technology kitech,"['iuh', 'sign', 'memorandum', 'cooperation', 'korea', 'institute', 'industrial', 'technology', 'kitech']",iuh sign memorandum cooperation korea institute industrial technology kitech
343,Sinh viên IUH được vay 500 triệu đồng để khởi nghiệp,Tin tức,sinh viên iuh được vay triệu đồng để khởi nghiệp,"['sinh_viên', 'iuh', 'vay', 'triệu', 'đồng', 'để', 'khởi_nghiệp']",sinh_viên iuh vay triệu đồng để khởi_nghiệp,343,The IUH delegation went to Korea for training and work,Hợp tác,the iuh delegation went to korea for training and work,"['iuh', 'delegation', 'go', 'korea', 'training', 'work']",iuh delegation go korea training work
344,"Khánh thành phòng khám phục vụ cán bộ, viên chức và sinh viên",Tin tức,khánh thành phòng khám phục vụ cán bộ viên chức và sinh viên,"['khánh_thành', 'phòng_khám', 'phục_vụ', 'cán_bộ', 'viên_chức', 'sinh_viên']",khánh_thành phòng_khám phục_vụ cán_bộ viên_chức sinh_viên,344,International Conference on Innovation and Artificial Intelligence: Experiences of India and Vietnam,Hợp tác,international conference on innovation and artificial intelligence experiences of india and vietnam,"['international', 'conference', 'innovation', 'artificial', 'intelligence', 'experience', 'india', 'vietnam']",international conference innovation artificial intelligence experience india vietnam
345,"Hội nghị Cán bộ, viên chức trường Đại học Công nghiệp TP. Hồ Chí Minh năm 2017",Tin tức,hội nghị cán bộ viên chức trường đại học công nghiệp tp hồ chí minh năm,"['hội_nghị', 'cán_bộ', 'viên_chức', 'trường', 'đại_học', 'công_nghiệp', 'tp', 'hồ', 'chí_minh', 'năm']",hội_nghị cán_bộ viên_chức trường đại_học công_nghiệp tp hồ chí_minh năm,345,Ho Chi Minh City University of Industry signed a cooperation agreement with the National University of Laos,Hợp tác,ho chi minh city university of industry signed a cooperation agreement with the national university of laos,"['chi', 'minh', 'city', 'university', 'industry', 'sign', 'cooperation', 'agreement', 'national', 'university', 'lao']",chi minh city university industry sign cooperation agreement national university lao
346,"Họp mặt cán bộ, viên chức hưu trí Xuân Đinh Dậu 2017",Tin tức,họp mặt cán bộ viên chức hưu trí xuân đinh dậu,"['họp_mặt', 'cán_bộ', 'viên_chức', 'hưu_trí', 'xuân', 'đinh_dậu']",họp_mặt cán_bộ viên_chức hưu_trí xuân đinh_dậu,346,The IUH delegation worked and signed a cooperation agreement in Canada,Hợp tác,the iuh delegation worked and signed a cooperation agreement in canada,"['iuh', 'delegation', 'work', 'signed', 'cooperation', 'agreement', 'canada']",iuh delegation work signed cooperation agreement canada
347,Lễ ký kết hợp tác toàn diện giữa Trường Đại học Công nghiệp TP. Hồ Chí Minh với Bệnh viên Quân y 175,Tin tức,lễ ký kết hợp tác toàn diện giữa trường đại học công nghiệp tp hồ chí minh với bệnh viên quân y,"['lễ', 'ký_kết', 'hợp_tác', 'toàn_diện', 'giữa', 'trường', 'đại_học', 'công_nghiệp', 'tp', 'hồ', 'chí_minh', 'bệnh_viên', 'quân_y']",lễ ký_kết hợp_tác toàn_diện giữa trường đại_học công_nghiệp tp hồ chí_minh bệnh_viên quân_y,347,The IUH delegation went on a study tour to Japan,Hợp tác,the iuh delegation went on a study tour to japan,"['iuh', 'delegation', 'go', 'study', 'tour', 'japan']",iuh delegation go study tour japan
348,Lễ bàn giao thiết bị tự động hóa và trao học bổng Mitsubishi Electric Việt Nam cho Trường Đại học Công nghiệp TP. Hồ Chí Minh,Tin tức,lễ bàn giao thiết bị tự động hóa và trao học bổng mitsubishi electric việt nam cho trường đại học công nghiệp tp hồ chí minh,"['lễ', 'bàn_giao', 'thiết_bị', 'tự_động', 'hóa', 'trao', 'học_bổng', 'mitsubishi', 'electric', 'việt_nam', 'trường', 'đại_học', 'công_nghiệp', 'tp', 'hồ', 'chí_minh']",lễ bàn_giao thiết_bị tự_động hóa trao học_bổng mitsubishi electric việt_nam trường đại_học công_nghiệp tp hồ chí_minh,348,The IUH delegation visited and worked in Thailand,Hợp tác,the iuh delegation visited and worked in thailand,"['iuh', 'delegation', 'visit', 'worked', 'thailand']",iuh delegation visit worked thailand
